"URI da faixa","Nome da faixa","URI(s) do artista","Nome(s) do artista","URI do álbum","Nome do álbum","URI(s) do artista do álbum","Nome(s) do artista do álbum","Data de lançamento do álbum","URL da imagem do álbum","Número do disco","Número da faixa","Duração da faixa (ms)","URL de prévia da faixa","Explícita","Popularidade","ISRC","Adicionado por","Adicionado em"
"spotify:track:0Lzwqj5NRVmxQvDLhm0G2C","Londres Freestyle (Bônus)","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:3prRKGJz16RRMRSIM97nHw, spotify:artist:7lr4WifTmPssQJgBmbjiJq, spotify:artist:6TPJK8tv3AKKSsw0lENTQk","Veigh, Supernova Ent, Viper, Nagalli","spotify:album:7ARyKbobUo0oE30Arwe67d","Dos Prédios","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:3prRKGJz16RRMRSIM97nHw","Veigh, Supernova Ent","2022-11-18","https://i.scdn.co/image/ab67616d0000b273afdd3ee20cd7c4a636b07cce","1","16","128000","https://p.scdn.co/mp3-preview/631b2fd7d6870316219efac9c25ecaee5202d3ab?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZNMU2230932","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:09:42Z"
"spotify:track:7qDX7v5im9GW4Mf5WJu6y3","Meio Pá","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:58zckWmoqAOoqPtZggJ9OZ, spotify:artist:1hKoauICyrx7JojasOI1EU, spotify:artist:2rb4yUz7taAlwIu5hobMv4, spotify:artist:6VpdTQWCRE01WVoEuby2a6, spotify:artist:3prRKGJz16RRMRSIM97nHw","Veigh, Blest Jones, UNKWN, Scotz, Mc Luanna, Supernova Ent","spotify:album:7ARyKbobUo0oE30Arwe67d","Dos Prédios","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:3prRKGJz16RRMRSIM97nHw","Veigh, Supernova Ent","2022-11-18","https://i.scdn.co/image/ab67616d0000b273afdd3ee20cd7c4a636b07cce","1","12","179439","https://p.scdn.co/mp3-preview/27eb8149368cce8108177f2520ed5f0e89a1b581?cid=9950ac751e34487dbbe027c4fd7f8e99","true","0","QZNMY2242350","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:09:45Z"
"spotify:track:6EOLDQz2rjwpZ2M5rApgH4","Superficial","spotify:artist:2h5Ha0ZiMFmOQD3iYcSXsy, spotify:artist:4Z9aFsrQeXQbKIOryEkfqe, spotify:artist:5wEgjH2s4SAiffRmzkBqHB, spotify:artist:4IEFTmI2K5xj488kIn268F","KayBlack, Marquinho no Beat, Wall Hein, Yokame","spotify:album:1vR5pzEPXx1i7h8zwosa7D","Contradições","spotify:artist:2h5Ha0ZiMFmOQD3iYcSXsy","KayBlack","2023-03-31","https://i.scdn.co/image/ab67616d0000b2731f67215fa1e4ef77b7699ae3","1","5","136464","https://p.scdn.co/mp3-preview/db5ddd3bd7ac0f8f8d5b869ba1c322633050809f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","61","BRWMB2300642","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:09:47Z"
"spotify:track:0FBV7lozkqCSuV2q24n43x","Minha Vida é um Filme","spotify:artist:68YeXpLt3jB7JHQS5ZjMGo","Teto","spotify:album:2yLHPvXcoZ3Zu8X5XY8Cpj","Minha Vida é um Filme","spotify:artist:68YeXpLt3jB7JHQS5ZjMGo","Teto","2023-04-01","https://i.scdn.co/image/ab67616d0000b273c0c904e412a1d9887a2011f2","1","1","186666","https://p.scdn.co/mp3-preview/c76cd4e71cd4ade3605af5ab4e0a43b25e55ec90?cid=9950ac751e34487dbbe027c4fd7f8e99","true","62","BXW922300006","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:09:59Z"
"spotify:track:3xIoDkHkhKHC4t9OCK9RyJ","Mítico Jovem","spotify:artist:1ZzJx2AgPmbnOE6OXhnn5K, spotify:artist:44sYX4gwGmUZBnNT2AZTPW, spotify:artist:6BY8aKKdrEbzOYWoD2EOAZ, spotify:artist:3eegqYNOBDWAuQME8S5W1q","Ryu\, The Runner, 6ee, Hobb The Goat, Salve Crazy","spotify:album:7bBlOZxxwCMSMpFngmSIPO","Essa é a Vida de um Corredor","spotify:artist:1ZzJx2AgPmbnOE6OXhnn5K","Ryu\, The Runner","2023-03-03","https://i.scdn.co/image/ab67616d0000b273f545aba01572f7bd7e42b42b","1","6","139130","https://p.scdn.co/mp3-preview/6deeee9c20b05845c96a64d242ad3d6864833e0d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","37","BCY5N2300004","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:03Z"
"spotify:track:6J8UJNZrIwvcpsWHvSkwXn","Anos Luz","spotify:artist:5nP8x4uEFjAAmDzwOEc9b8","Matuê","spotify:album:2SUW5NUMqjdAI2R2PdaANQ","Anos Luz","spotify:artist:5nP8x4uEFjAAmDzwOEc9b8","Matuê","2017-11-28","https://i.scdn.co/image/ab67616d0000b273fc2234c5c7a216894712221a","1","1","264045","https://p.scdn.co/mp3-preview/fa632dbebc7cfebf30e58cb78ab5729db15c9dff?cid=9950ac751e34487dbbe027c4fd7f8e99","false","0","BXIV81600024","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:07Z"
"spotify:track:18XOY618zQH4bFw3TgVT9L","VALHO NADA","spotify:artist:1WQBwwssN6r8DSjUlkyUGW, spotify:artist:5XEiZVyQHpIDjhkIBbpf2G, spotify:artist:3FVZlbowUWV4h0nKFKVb0a, spotify:artist:7KEZl3nvHOJaaLZUo1wLwc, spotify:artist:5arfYeRczWtKre7ptGoEXp, spotify:artist:3de56pt399CWcGlNa7kB5N, spotify:artist:3Og0gjJyLFUdqIYzXxq6T6, spotify:artist:2ippo8G3HMB1qEEJvkj8PT","MC Cabelinho, Vinicin, Amorim, A.R, Palma, Felipe Rosa, Brutos, Bairro 13","spotify:album:0YSpRv5TQFxz2im8ijEglV","LITTLE LOVE","spotify:artist:1WQBwwssN6r8DSjUlkyUGW","MC Cabelinho","2022-12-20","https://i.scdn.co/image/ab67616d0000b2735384a1eed3cf01a9f11e0aaa","1","6","217539","https://p.scdn.co/mp3-preview/373d3c7da8af3f1ebfde8b3b97286784dbacb029?cid=9950ac751e34487dbbe027c4fd7f8e99","true","60","QZW9L2205865","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:11Z"
"spotify:track:4qDT0BeJ7BjatrN9k8AvB4","Flow Espacial","spotify:artist:68YeXpLt3jB7JHQS5ZjMGo, spotify:artist:3MrDVzg7ZXaYMyQmbDInr7, spotify:artist:5nP8x4uEFjAAmDzwOEc9b8","Teto, WIU, Matuê","spotify:album:02bPJTNRLkXeVWQPihqHNX","Flow Espacial","spotify:artist:68YeXpLt3jB7JHQS5ZjMGo, spotify:artist:3MrDVzg7ZXaYMyQmbDInr7, spotify:artist:5nP8x4uEFjAAmDzwOEc9b8","Teto, WIU, Matuê","2023-01-30","https://i.scdn.co/image/ab67616d0000b27313210ec96da13fcbc4066f28","1","1","165925","https://p.scdn.co/mp3-preview/eeb54fe09bb3906599e37d19a27924e13b23491d?cid=9950ac751e34487dbbe027c4fd7f8e99","true","66","BXW922300003","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:14Z"
"spotify:track:4hKLzFvNwHF6dPosGT30ed","Novo Balanço","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:7saGN6a32YNpiMPo2SWJxE, spotify:artist:5X5jKBLJ88Ji6tzwfL0g4c, spotify:artist:3prRKGJz16RRMRSIM97nHw","Veigh, Bvga Beatz, Prod Malax, Supernova Ent","spotify:album:0D59BFMmnA87oPyk1oSe1b","Dos Prédios Deluxe","spotify:artist:4YqwRbMLqGHRHLS1w2ZKse, spotify:artist:3prRKGJz16RRMRSIM97nHw","Veigh, Supernova Ent","2023-05-19","https://i.scdn.co/image/ab67616d0000b273ce0947b85c30490447dbbd91","1","1","140322","https://p.scdn.co/mp3-preview/af031ca41aac7b60676833187f323d94fc387bce?cid=9950ac751e34487dbbe027c4fd7f8e99","true","72","QZMWW2396002","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:23Z"
"spotify:track:1QRDn63eQzqC8dpNcI7HtQ","C'est la vie (Bônus)","spotify:artist:2h5Ha0ZiMFmOQD3iYcSXsy, spotify:artist:4Z9aFsrQeXQbKIOryEkfqe, spotify:artist:5wEgjH2s4SAiffRmzkBqHB","KayBlack, Marquinho no Beat, Wall Hein","spotify:album:1vR5pzEPXx1i7h8zwosa7D","Contradições","spotify:artist:2h5Ha0ZiMFmOQD3iYcSXsy","KayBlack","2023-03-31","https://i.scdn.co/image/ab67616d0000b2731f67215fa1e4ef77b7699ae3","1","7","124913","https://p.scdn.co/mp3-preview/85688aa76500f504528fadcd1410c1a9fe39d3ef?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","BRWMB2300644","spotify:user:316ye5nphj2c6qd5zczz6wspr4te","2023-11-01T12:10:27Z"
