Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2HzLEPWKXcfpwfmEIUURHo,"Qual é seu desejo?","Qual é seu desejo?","Tz da Coronel;Ryu, The Runner;Nagalli;Cúpula",2024-02-29,153429,61,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:14Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Cúpula",0.843,0.539,5,-4.376,0,0.0405,0.476,0,0.115,0.729,133.014,4
spotify:track:1axjkneyMaY05Vtbm0iodX,"Cheiro de Sexo","Cheiro de Sexo","Tz da Coronel;meLLo",2023-10-17,148525,32,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:17Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Cúpula",0.767,0.535,6,-8.757,0,0.124,0.186,0,0.206,0.54,131.987,4
spotify:track:5poQXGnGdCQgk62Qgsm5cn,"Faz Uns Dias / Jeito Que Te Faço Poderosa","O Cara Do Momento","MC PH;TrapLaudo;Murillo e LT no Beat;Solanno;011Frank;Mc IG;Prado",2023-11-29,277590,65,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:20Z,"funk,trap funk,funk consciente,trap brasileiro,hip hop brasileiro","GR6 Music",0.511,0.502,3,-4.708,0,0.0578,0.809,0.0000271,0.198,0.848,110.863,5
spotify:track:1aDGzQHWNCMy3pF1Stqjk7,"Celine","Perdas & Ganhos","Vulgo FK;KayBlack;WEY;Pedro Lotto;Wall Hein",2023-07-14,162506,65,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:21Z,"trap brasileiro,trap funk,trap,funk,hip hop brasileiro","Som Livre",0.641,0.43,0,-10.128,0,0.0547,0.347,0,0.1,0.301,120.141,4
spotify:track:0zTZONeg1hFNplaZGc7siE,"Não faz isso Comigo não","É o Trem!","Tz da Coronel;CalliCartel;Victor WAO",2022-03-11,120046,59,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:21Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","CalliCartelRecords",0.821,0.38,2,-10.364,1,0.05,0.0822,0.00000398,0.2,0.155,120.033,4
spotify:track:6cRyy0XvzIdbSNzjYAOoFf,"zumzumzum","zumzumzum","Teto",2024-01-31,150000,59,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:22Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","30PRAUM",0.849,0.521,8,-7.287,0,0.474,0.409,0,0.322,0.364,80.001,4
spotify:track:3pC5Zki978Ey1MdFDXd7wj,"Celebridade","Celebridade","Orochi;Kizzy",2020-03-27,231272,69,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:24Z,"trap brasileiro,hip hop brasileiro,trap funk,trap","Mainstreet Records",0.598,0.578,4,-7.639,0,0.176,0.812,0.00000155,0.11,0.454,109.883,4
spotify:track:6a35UETcJteB4oVCSFoAqr,"Perfeita","Um Toque de Malandragem","MC Ryan SP;Orochi;MC Hariel;DJ BOY;Oruam",2023-09-12,277411,58,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:25Z,"funk,funk consciente,trap funk,trap brasileiro,hip hop brasileiro,trap","WM Brazil",0.83,0.502,7,-5.605,0,0.322,0.546,0,0.119,0.447,113.788,5
spotify:track:6XSTDJMW7yUr4Zuzyr4Ht6,"Lenda","Amor e Ódio","Borges;Filipe Ret;TkN;Mindu",2023-12-13,192000,59,true,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:25Z,"trap brasileiro,trap,trap funk,hip hop brasileiro","Mainstreet Records",0.739,0.593,1,-5.855,0,0.0925,0.354,0,0.107,0.643,139.984,4
spotify:track:4ML8zKHATI6s31xmdQD0Qa,"Ela joga no 7","Dacoromode","Tz da Coronel;MC Ryan SP;KayBlack;Dj Murillo e LT no Beat;Cúpula",2023-10-18,200039,61,false,31iyzpt6ozhhinwi72azy6ryb6lu,2024-04-04T02:45:27Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk,funk consciente","Cúpula",0.604,0.454,0,-8.525,0,0.177,0.309,0,0.321,0.83,119.872,4
