Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:1i2kguziI3ZbUZnZMKNhQ2,"400K","Ninguém Tá Puro!","Mc IG;DJ Jorgin",2023-03-15,163500,68,false,31pukwc6x5g7m2u2elje37e7ppje,2024-12-04T18:34:50Z,"funk,trap funk,funk consciente","GR6 Music",0.768,0.52,5,-5.916,0,0.05,0.347,0,0.0843,0.838,79.97,4
spotify:track:3d1im1pw3WLuEty2k9XzTr,"Clickbait","Dos Prédios Deluxe","Veigh;Niink;Bvga Beatz;JHXW;Supernova Ent",2023-05-19,161344,64,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-04T18:35:13Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment Under Exclusive License to UnitedMasters",0.899,0.544,0,-6.674,0,0.32,0.391,0,0.138,0.753,119.022,4
spotify:track:4hKLzFvNwHF6dPosGT30ed,"Novo Balanço","Dos Prédios Deluxe","Veigh;Bvga Beatz;Prod Malax;Supernova Ent",2023-05-19,140322,72,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-04T18:35:28Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment Under Exclusive License to UnitedMasters",0.836,0.499,3,-5.82,0,0.0563,0.669,0,0.134,0.65,124.05,4
spotify:track:39xOREhViooEYFpmnKTdrl,"Engana Dizendo Que Ama","Dos Prédios Deluxe","Veigh;Tz da Coronel;Toledo;Nagalli;Bvga Beatz;Supernova Ent",2023-05-19,188497,71,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-04T18:36:23Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment Under Exclusive License to UnitedMasters",0.789,0.356,6,-10.396,0,0.362,0.542,0,0.145,0.532,111.937,4
spotify:track:6tGQ5RuoGC9jYuiVVLWBMo,"Vida Chique","Dos Prédios","Veigh;Nick Nash;Wylo;Nagalli;Supernova Ent;Kaash Paige",2022-11-18,210545,69,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-04T22:26:23Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Supernova Entertainment",0.602,0.461,4,-6.669,0,0.382,0.56,0,0.249,0.555,107.407,4
spotify:track:4FbYt9D0katV4nXZaC01Yt,"Medley de Igaratá 3","Medley de Igaratá 3","Mc Negão Original;DJ Guh Mix;Mc Robert",2024-11-07,265750,67,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-05T01:29:18Z,"funk,trap funk,funk consciente,funk carioca","Cria Hit BR",0.839,0.662,5,-5.738,0,0.307,0.312,0,0.398,0.834,130.12,4
spotify:track:1torN4n9hcUHoJ5gCgNS11,"Bad Boys","Bad Boys","Mc IG;MC Ryan SP;MC PH;DJ Glenner;Mano Brown",2024-08-20,351496,55,false,31pukwc6x5g7m2u2elje37e7ppje,2024-12-19T03:46:46Z,"funk,trap funk,funk consciente,trap brasileiro,hip hop brasileiro","WM Brazil",0.484,0.628,11,-8.069,0,0.319,0.604,0,0.11,0.797,84.969,5
spotify:track:3Uc1umNQVfi2HjywAbxwDX,"Velho da Lancha","Dr. Igor Guilherme","Mc IG;Mc Neguinho PRT;Fepache;Dj TC",2024-12-12,200000,57,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-26T00:28:17Z,"funk,trap funk,funk consciente","WM Brazil",0.705,0.71,8,-3.671,0,0.0751,0.544,0,0.103,0.464,120.008,4
spotify:track:3kBYuWrGtx1tSHjzr0vlZh,"Sorriso no Rosto","Sorriso no Rosto","Mc IG;Murillo e LT no Beat;DJ Glenner",2024-05-28,148000,61,true,31pukwc6x5g7m2u2elje37e7ppje,2024-12-29T13:48:02Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.637,0.805,7,-5.17,0,0.326,0.361,0.0000149,0.125,0.572,90.3,3
spotify:track:44SHcghjva9vipAIyTvxnw,"Goodnight Menina 2","Ninguém Tá Puro!","Mc IG;DJ Glenner;Fepache",2023-03-15,149052,67,true,31pukwc6x5g7m2u2elje37e7ppje,2025-01-18T21:04:56Z,"funk,trap funk,funk consciente","GR6 Music",0.494,0.519,9,-7.039,0,0.165,0.343,0,0.232,0.391,94.914,4
