Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:6auVxS1LlJEDdjE2Khc4W2,"Filha do Jornalista","O Que O Igor Guilherme Anda Pensando ?","Mc IG;DJ Oreia",2022-08-24,126000,62,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:29:02Z,"funk,trap funk,funk consciente","GR6 Music",0.716,0.528,11,-5.464,0,0.363,0.603,0,0.0641,0.676,81.209,4
spotify:track:1XlFMIer2WxuSUKb43EQID,"Esquadrilha da Fumaça","O Que O Igor Guilherme Anda Pensando ?","Mc IG;MC Menor da VG;MC PH;DJ Oreia;MC Ryan SP",2022-08-24,251707,58,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:29:57Z,"funk,trap funk,funk consciente,trap brasileiro","GR6 Music",0.637,0.447,11,-8.498,0,0.0977,0.146,0,0.124,0.749,105.155,5
spotify:track:0GsvMQftDrIOszte4jP5XK,"OQIGAP?","O Que O Igor Guilherme Anda Pensando ?","Mc IG;Mc Davi;MC Neguinho do Kaxeta;DJ Oreia;MC Ryan SP;MC Cebezinho;MC Hariel;MC Rick;Tigre Gurreiro;Mc Don Juan;Ferrari offG",2022-08-24,647040,60,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:03Z,"funk,trap funk,funk consciente,funk de bh","GR6 Music",0.705,0.537,11,-5.089,1,0.397,0.222,0,0.0979,0.61,114.683,5
spotify:track:7rrYJ62gWbZmKQpazFR0k1,"Maloqueiro Visionário","O Que O Igor Guilherme Anda Pensando ?","Mc IG;Mc Kanhoto",2022-08-24,177111,53,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:12Z,"funk,trap funk,funk consciente","GR6 Music",0.708,0.475,2,-4.394,1,0.206,0.538,0,0.0474,0.679,119.758,5
spotify:track:5sHYcDHsrOmJecCe6mWkRb,"Terra da Garoa","O Que O Igor Guilherme Anda Pensando ?","Mc IG",2022-08-24,203294,57,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:18Z,"funk,trap funk,funk consciente","GR6 Music",0.622,0.497,1,-8.588,0,0.461,0.699,0.00000472,0.0887,0.962,169.867,4
spotify:track:22p1f7rHf3dDveLVyot0eY,"Noite Paulista","O Que O Igor Guilherme Anda Pensando ?","Mc IG;Mc Paiva ZS;MC PH;MC Ryan SP;Mc Luki;Gabb MC",2022-08-24,323855,60,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:24Z,"funk,trap funk,funk consciente,funk carioca,trap brasileiro","GR6 Music",0.717,0.675,6,-4.451,0,0.0977,0.807,0,0.229,0.799,165.964,4
spotify:track:1nDyM3w67sL96wIY4jern1,"Sem Gin, Sem Ela","O Que O Igor Guilherme Anda Pensando ?","Mc IG;MC PH;TrapLaudo;MC Marks",2022-08-24,263558,53,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:30Z,"funk,trap funk,funk consciente,trap brasileiro","GR6 Music",0.848,0.438,3,-9.463,1,0.438,0.319,0,0.107,0.691,108.644,5
spotify:track:2KCeDdDiljBL1LgDFIzfdr,"Goodnight Menina","O Que O Igor Guilherme Anda Pensando ?","Mc IG;DJ Glenner;Fepache",2022-08-24,141440,58,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:37Z,"funk,trap funk,funk consciente","GR6 Music",0.641,0.496,1,-3.41,0,0.312,0.664,0,0.086,0.533,129.677,5
spotify:track:0pZIBIJ253pH9gJtXE0Ouf,"Vestido da Fendi","Vestido da Fendi","KayBlack;Marquinho no Beat;Wall Hein",2021-09-09,164203,68,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:50Z,"trap brasileiro,trap funk,trap,hip hop brasileiro,funk","Elenko Music",0.844,0.363,3,-11.099,0,0.442,0.0957,0,0.115,0.626,118.096,4
spotify:track:3l5VjEAeUTqrlD50iEo8Yn,"Licor 43","Licor 43","KayBlack;CVSTRO;Wall Hein;AMUSIK",2022-04-28,142470,71,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:30:56Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","Elenko Music",0.66,0.388,7,-10.104,0,0.296,0.611,0,0.243,0.311,90.009,4
spotify:track:7DROtyR6IMNifyZmyksyE7,"3 Dias Virado","Só Explosão","Mc IG",2017-12-22,207157,72,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:31:02Z,"funk,trap funk,funk consciente","GR6 Music",0.823,0.474,2,-9.289,0,0.0503,0.0202,0,0.201,0.833,95.05,4
spotify:track:6q7JErWgt37P12yEAOVT9e,"Dubai Vibes","Meu Nome Não é Igor %","Mc IG;DJ WN;Murillo e LT no Beat;DJ Oreia",2023-08-31,139534,48,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:31:42Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.744,0.65,10,-5.551,1,0.134,0.274,0,0.0936,0.802,171.96,4
spotify:track:21VmGZLEhMu6e8cACBmS2A,"Quem Vai Patrocinar?","Meu Nome Não é Igor %","Mc IG;MC Ryan SP;Kotim",2023-08-31,227294,50,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:31:47Z,"funk,trap funk,funk consciente","WM Brazil",0.797,0.636,10,-5.26,0,0.479,0.259,0.00000152,0.105,0.765,112.856,5
spotify:track:5ME83xsz5O9u3A0qhMtKyj,"Jogo do Corinthians","Meu Nome Não é Igor %","Mc IG;Murillo e LT no Beat",2023-08-31,146776,57,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:31:52Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.716,0.422,0,-7.56,0,0.258,0.241,0,0.151,0.646,121.036,4
spotify:track:4ldcxPVAtih8alepJTu8Hx,"Faz Completo, Chefe","Meu Nome Não é Igor %","Mc IG;DJ WN",2023-08-31,127228,62,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:31:58Z,"funk,trap funk,funk consciente","WM Brazil",0.714,0.373,4,-8.01,0,0.0917,0.593,0.00202,0.0897,0.703,165.935,4
spotify:track:41vXO1HYd7VywQbpCXaJwM,"Sem Gin, Sem Ela 2","Meu Nome Não é Igor %","Mc IG;MC Ryan SP;MC PH;Murillo e LT no Beat;TrapLaudo",2023-08-31,326871,60,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:32:05Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.63,0.463,7,-8.523,1,0.424,0.195,0,0.136,0.608,108.59,5
spotify:track:4l5BQRypyRhbt3PzLPNPNf,"Sempre Tem","Meu Nome Não é Igor %","Mc IG;DJ Glenner",2023-08-31,203294,56,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:32:44Z,"funk,trap funk,funk consciente","WM Brazil",0.411,0.247,11,-13.961,0,0.161,0.775,0,0.0871,0.217,84.004,4
spotify:track:62W2f0QOg20ufNjJQHqnkq,"Fernando de Noronha","Meu Nome Não é Igor %","Mc IG;MC Ryan SP;MC PH;DJ Glenner;DJ Oreia;Gabb MC;MC Bruno MS;MC GP;MC Rhamon;Mc Dena;TrapLaudo",2023-08-31,510697,61,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:33:14Z,"funk,trap funk,funk consciente,trap brasileiro","WM Brazil",0.652,0.556,6,-7.672,0,0.518,0.336,0.00000113,0.0755,0.64,114.591,5
spotify:track:7b5ygmueQBvVREUkLz6vti,"Ei, Dama!","Meu Nome Não é Igor %","Mc IG;DJ Glenner",2023-08-31,171428,52,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:33:20Z,"funk,trap funk,funk consciente","WM Brazil",0.749,0.376,9,-10.358,0,0.149,0.204,0,0.327,0.511,111.928,5
spotify:track:37aLQx7BaA9LpDsqr9tKx6,"FEFA","Meu Nome Não é Igor %","Mc IG;TrapLaudo;MC GP;Mc Dena",2023-08-31,281481,51,true,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:33:26Z,"funk,trap funk,funk consciente","WM Brazil",0.643,0.465,7,-4.535,1,0.198,0.102,0,0.187,0.657,161.817,4
spotify:track:1xw0BToTM3XnVnqXSPRByZ,"Sereia Me Perdoa","Sereia Me Perdoa","MC Ryan SP;Mc Don Juan;Mc IG;Kotim;MC Joãozinho VT;MC Tuto;Kako;Vulgo FK",2023-05-25,457411,61,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:33:54Z,"funk,funk consciente,trap funk,trap brasileiro,trap,hip hop brasileiro","WM Brazil",0.491,0.792,1,-3,0,0.253,0.336,0,0.113,0.651,84.31,4
spotify:track:2XaEn8iznBz9ZE9YJqJdQ6,"Revoada do Tubarão 3","Revoada do Tubarão 3","MC Ryan SP;MC Hariel;Mc Don Juan;MC Joãozinho VT;MD Chefe;Mc Daniel;Mc Davi;Mc IG;Mc Kevin;Mc Paiva ZS;POCAH",2022-11-18,669157,59,false,31issvbo2go74xaihjj5ccogxvni,2025-08-13T09:34:58Z,"funk,funk consciente,trap funk,trap brasileiro,hip hop brasileiro,trap,agronejo,funk carioca,funk pop,pop nacional,brega funk","WM Brazil",0.795,0.705,4,-4.041,0,0.0606,0.252,0.00000188,0.248,0.571,95.023,4
spotify:track:1i2kguziI3ZbUZnZMKNhQ2,"400K","Ninguém Tá Puro!","Mc IG;DJ Jorgin",2023-03-15,163500,68,false,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:05Z,"funk,trap funk,funk consciente","GR6 Music",0.768,0.52,5,-5.916,0,0.05,0.347,0,0.0843,0.838,79.97,4
spotify:track:1Od9NokLPxoWIZKIbImt6P,"Ninguém Tá Puro","Ninguém Tá Puro","Mc IG;DJ Oreia",2022-09-29,87804,59,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:09Z,"funk,trap funk,funk consciente","GR6 Music",0.758,0.68,1,-6.622,1,0.249,0.285,0.0000718,0.247,0.925,163.964,4
spotify:track:2CzIoSG4eDkstyTiXzjryy,"Paladar Infantil","Paladar Infantil","G.A;Bvga Beatz;Supernova Ent;Toledo",2023-07-21,143283,63,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:18Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","G.AZINN",0.856,0.441,5,-6.901,0,0.0862,0.652,0,0.109,0.731,134.08,4
spotify:track:5NYqvfrt7W4mUMX3FpNO0v,"Tipo IG","O Cara Do Momento","MC PH;Solanno;Mc IG;Murillo e LT no Beat",2023-11-29,146823,53,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:22Z,"funk,trap funk,funk consciente,trap brasileiro","GR6 Music",0.773,0.631,4,-3.262,1,0.0564,0.473,0,0.161,0.42,113.306,5
spotify:track:7woVi4HBuv0rsO98Ox2Fcq,"Doce Veneno","Doce Veneno","Mc Paiva ZS;Love Funk;Kotim",2022-07-27,208941,57,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:26Z,"funk,trap funk,funk consciente,funk carioca","Love Funk",0.645,0.403,3,-10.809,0,0.344,0.404,0.000199,0.342,0.614,170.034,4
spotify:track:3QOYcmlQz9xu9XRToik7oc,"brinks!","UM Quebrada Inteligente","Kyan;Mu540",2023-07-13,155076,0,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:30Z,"trap brasileiro,trap funk,trap,hip hop brasileiro","UM Quebrada Inteligente",0.637,0.89,10,-3.756,1,0.885,0.627,0,0.0793,0.842,83.925,5
spotify:track:5J2SxIkVuMQq05ypE9Lnqt,"Pela Marginal","Pela Marginal","Mc IG",2020-10-16,220625,45,false,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:35Z,"funk,trap funk,funk consciente","GR6 Music",0.524,0.579,8,-5.204,1,0.0871,0.549,0,0.173,0.489,96.06,4
spotify:track:6a35UETcJteB4oVCSFoAqr,"Perfeita","Um Toque de Malandragem","MC Ryan SP;Orochi;MC Hariel;DJ BOY;Oruam",2023-09-12,277411,58,false,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:38Z,"funk,funk consciente,trap funk,trap brasileiro,hip hop brasileiro,trap","WM Brazil",0.83,0.502,7,-5.605,0,0.322,0.546,0,0.119,0.447,113.788,5
spotify:track:39za6I56DBTjr2JBJ2eIdo,"Personnalite","Inferno de Kant (Deluxe)","Kant;Chiocki;Sobs;Sueth;UCLÃ",2022-10-27,208910,63,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:44Z,"trap brasileiro,hip hop brasileiro,trap,trap funk","Kant",0.607,0.602,3,-6.011,0,0.23,0.322,0,0.0907,0.717,125.959,4
spotify:track:6O9jSv39iYQjUeOA2JoBvg,"Magnata","Magnata","Mc Paiva ZS;Kotim",2021-12-10,119457,57,false,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:47Z,"funk,trap funk,funk consciente,funk carioca","LOVE FUNK",0.839,0.631,0,-7.134,0,0.119,0.629,0,0.0882,0.514,130.046,4
spotify:track:7JGpwS3i7HAUJnzV1q9WLX,"Set do DJ Pedro 2.0","Set do DJ Pedro 2.0","MC Rodolfinho;Mc Kevin;MC Ryan SP;MC Menor da VG;Mc Don Juan;DJ Pedro",2020-03-15,247741,64,true,31issvbo2go74xaihjj5ccogxvni,2025-08-17T15:23:51Z,"funk,funk consciente,trap funk","GR6 Music",0.787,0.643,7,-5.056,0,0.11,0.554,0,0.111,0.721,92.979,4
